NAME,CODE,PARENT,PARENT ALIAS,DIRECTION,INVERSE,INVERSE ALIAS,DESCRIPTION
קייטנה/חודש לימודים נוסף לגנ״י,3128,312,,REVENUE,,,
חינוך יסודי,313,31,,REVENUE,,,
מינהל החינוך היסודי,3131,313,,REVENUE,,,
בתי״ס יסודיים,3132,313,,REVENUE,,,
חינוך מיוחד,3133,313,,REVENUE,,,
חוגים לתלמידים מחוננים ומוכשרים,3134,313,,REVENUE,,,
ישיבות קטנות ותלמודי תורה,3135,313,,REVENUE,,,
חינוך משלים בבתי״ס,3136,313,,REVENUE,,,
חוות חקלאיות,3137,313,,REVENUE,,,
קייטנות/לימודיות וחודש לימוד נוסף,3138,313,,REVENUE,,,
חטיבות ביניים,314,31,,REVENUE,,,
חינוך על יסודי,315,31,,REVENUE,,,
מינהל החינוך העל יסודי,3151,315,,REVENUE,,,
בתי״ס על יסודיים עיוניים,3152,315,,REVENUE,,,
בתי״ס ערב על יסודיים,3153,315,,REVENUE,,,
ישיבות תיכוניות אולפנות ומתיבתאות,3154,315,,REVENUE,,,
בתי״ס על יסודיים מקצועיים,3155,315,,REVENUE,,,
בתי״ס על יסודיים חקלאיים,3156,315,,REVENUE,,,
בתי״ס על יסודיים מקיפים,3157,315,,REVENUE,,,
חינוך גבוה,316,31,,REVENUE,,,
אוניברסיטאות,3162,316,,REVENUE,,,
מוסדות להשכלה טכנולוגית גבוהה,3163,316,,REVENUE,,,
ישיבות גבוהות וכוללים,3164,316,,REVENUE,,,
בתי מדרש למורים,3165,316,,REVENUE,,,
מכללות,3166,316,,REVENUE,,,
אמנות,3167,316,,REVENUE,,,
קרן מלגות עירונית,3168,316,,REVENUE,,,
שירותים נוספים לבתי״ס וגנ״י,317,31,,REVENUE,,,
קב״ט שמירה ובטחון מוסדות חינוך,3171,317,,REVENUE,,,
מרכזיה פדגוגית,3172,317,,REVENUE,,,
שרות פסיכולוגי חינוכי,3173,317,,REVENUE,,,
שרות בריאות לתלמיד,3174,317,,REVENUE,,,
בטוח תלמידים,3175,317,,REVENUE,,,
רווחה חינוכית,3176,317,,REVENUE,,,
קב״סים,3177,317,,REVENUE,,,
הסעות ילדים,3178,317,,REVENUE,,,
שירותים אחרים,3179,317,,REVENUE,,,
חינוך מבוגרים,318,31,,REVENUE,,,
שירותי חינוך מיוחדים,319,31,,REVENUE,,,
חינוך מוכר שאינו רשמי,3191,319,,REVENUE,,,
תרבות,32,3,,REVENUE,,,
מינהל התרבות,321,32,,REVENUE,,,
פעולות תרבות,322,32,,REVENUE,,,
ספריות עירוניות,323,32,,REVENUE,,,
מתנ״סים,324,32,,REVENUE,,,
מוסיקה ומחול,325,32,,REVENUE,,,
קונסרבטוריון,3251,325,,REVENUE,,,
תזמורת עירונית,3252,325,,REVENUE,,,
מקהלה עירונית,3254,325,,REVENUE,,,
מוקדי תרבות,326,32,,REVENUE,,,
תיאטרונים,3261,326,,REVENUE,,,
מוזיאונים,3262,326,,REVENUE,,,
גן חיות,3263,326,,REVENUE,,,
מוקדי תרבות אחרים,3264,326,,REVENUE,,,
תרבות תורנית,327,32,,REVENUE,,,
נוער,328,32,,REVENUE,,,
מינהל הנוער,3281,328,,REVENUE,,,
מוקדי הפעלת נוער,3282,328,,REVENUE,,,
חוגי נוער,3283,328,,REVENUE,,,
קייטנות נוער,3284,328,,REVENUE,,,
תנועות נוער,3289,328,,REVENUE,,,
בריאות,33,3,,REVENUE,,,
מרפאות,332,33,,REVENUE,,,
מרפאות יעוד,3321,332,,REVENUE,,,
מרפאות כלליות,3322,332,,REVENUE,,,
מרפאות שיניים,3323,332,,REVENUE,,,
תחנות אם וילד,3324,332,,REVENUE,,,
בתי חולים,333,33,,REVENUE,,,
בתי חולים כלליים,3331,333,,REVENUE,,,
בתי חולים אחרים,3332,333,,REVENUE,,,
בתי ספר לאחיות,334,33,,REVENUE,,,
מוסדות בריאות אחרים,335,33,,REVENUE,,,
שירותי חירום ריפואים,336,33,,REVENUE,,,
מד״א,3361,336,,REVENUE,,,
נט״ן,3362,336,,REVENUE,,,
מוקד לתורנויות של רופאים,3363,336,,REVENUE,,,
רווחה,34,3,,REVENUE,,,
מינהל הרווחה,341,34,,REVENUE,,,
רווחת הפרט והמשפחה,342,34,,REVENUE,,,
צרכים מיוחדים,3422,342,,REVENUE,,,
הדרכת משפחות,3424,342,,REVENUE,,,
סמך מקצועי,3425,342,,REVENUE,,,
שירותים לילד ולנוער,343,34,,REVENUE,,,
פעולות קהילתיות,3435,343,,REVENUE,,,
אחזקת ילדים בפנימיות,3438,343,,REVENUE,,,
אחזקת ילדים במעונות יום ואומנות יומיות,3439,343,,REVENUE,,,
שירותים לזקן,344,34,,REVENUE,,,
שירותים לזקן - מוסדי,3443,344,,REVENUE,,,
שירותים לזקן - קהילתי,3444,344,,REVENUE,,,
תעסוקה ומרכזי יום לקשיש,3445,344,,REVENUE,,,
שירותים למפגר,345,34,,REVENUE,,,
סידור מפגרים במוסדות,3451,345,,REVENUE,,,
סידור מפגרים במסגרות יום,3452,345,,REVENUE,,,
שירותים למפגר - קהילתי,3453,345,,REVENUE,,,
מפעלי תעסוקת למפגר ומע״ש,3454,345,,REVENUE,,,
שירותי שיקום,346,34,,REVENUE,,,
שיקום העיוור - אחזקה במוסדות,3461,346,,REVENUE,,,
שיקום העיוור - מעונות יום,3462,346,,REVENUE,,,
טיפול בעיוור בקהילה,3463,346,,REVENUE,,,
מפעלי תעסוקה לעיוורים,3464,346,,REVENUE,,,
נכים - שיקום במוסדות,3465,346,,REVENUE,,,
נכים - אחזקה במסגרות יום,3466,346,,REVENUE,,,
נכים - טיפול בקהילה,3467,346,,REVENUE,,,
נכים - שיקום במפעלי תעסוקה,3469,346,,REVENUE,,,
שירותי תיקון,347,34,,REVENUE,,,
טיפול בחבורות רחוב ונוער במצוקה,3471,347,,REVENUE,,,
חסות נוער,3472,347,,REVENUE,,,
סמים,3473,347,,REVENUE,,,
מפתנים,3474,347,,REVENUE,,,
עבודה קהילתית,348,34,,REVENUE,,,
מרכזים קהילתיים,3482,348,,REVENUE,,,
התנדבות,3483,348,,REVENUE,,,
שרות יעו. לאזרח שי״ל,3484,348,,REVENUE,,,
שיקום שכונות,3485,348,,REVENUE,,,
שירותים לעולים,349,34,,REVENUE,,,
דת,35,3,,REVENUE,,,
שירותים דתיים יהודיים,351,35,,REVENUE,,,
שירותי דת לקראים,352,35,,REVENUE,,,
שירותי דת למוסלמים,353,35,,REVENUE,,,
שירותי דת לעדות נוצריות,354,35,,REVENUE,,,
שירותי דת לדרוזים,355,35,,REVENUE,,,
שירותי דת יהודיים כלליים,356,35,,REVENUE,,,
שירותי דת במועצות אזוריות,357,35,,REVENUE,,,
שירותי דת שונים,359,35,,REVENUE,,,
ק ליטת עליה,36,3,,REVENUE,,,
שירותים שונים לקליטת העלייה,369,36,,REVENUE,,,
איכות הסביבה,37,3,,REVENUE,,,
שירותים שונים לאיכות הסביבה,379,37,,REVENUE,,,
מפעלים,4,,,REVENUE,,,
מים,41,4,,REVENUE,,,
מינהל המים,411,41,,REVENUE,,,
גביה,412,41,,REVENUE,,,
משק המים,413,41,,REVENUE,,,
אגרות מים (צריכה שוטפת),4131,413,,REVENUE,,,
אגרות מים אחרות (מוני מים),4132,413,,REVENUE,,,
בתי מטבחיים,42,4,,REVENUE,,,
בתי מטבחיים עירוניים,422,42,,REVENUE,,,
בתי מטבחיים באגוד ערים,423,42,,REVENUE,,,
נכסים,43,4,,REVENUE,,,
מינהל הנכסים,431,43,,REVENUE,,,
דירות,432,43,,REVENUE,,,
משרדים ועסקים,433,43,,REVENUE,,,
מבני מלאכה ותעשיה,434,43,,REVENUE,,,
קרקעות,435,43,,REVENUE,,,
אכסניות נוער,436,43,,REVENUE,,,
שווקים,437,43,,REVENUE,,,
משרדי הרשות,438,43,,REVENUE,,,
נכסים אחרים,439,43,,REVENUE,,,
תחבורה,44,4,,REVENUE,,,
אוטובוסים,442,44,,REVENUE,,,
שרות אוטובוסים בהפעלת הרשות,4421,442,,REVENUE,,,
שרות אוטובוסים ציבוריים,4422,442,,REVENUE,,,
תחנות אוטובוסים,4423,442,,REVENUE,,,
חניה למכוניות,443,44,,REVENUE,,,
מגרשי חניה,4431,443,,REVENUE,,,
כרטיסי חניה ומדחנים,4432,443,,REVENUE,,,
חניה למוניות,444,44,,REVENUE,,,
רכבות,445,44,,REVENUE,,,
מפעלי תעסוקה,45,4,,REVENUE,,,
חשמל,46,4,,REVENUE,,,
מפעל הביוב,47,4,,REVENUE,,,
מינהל הביוב,471,47,,REVENUE,,,
ביוב עירוני,472,47,,REVENUE,,,
טיהור מי ביוב,473,47,,REVENUE,,,
ריקון בורות שופכין,474,47,,REVENUE,,,
מפעלים אחרים,48,4,,REVENUE,,,
תקבולים בלתי רגילים,5,,,REVENUE,,,
ריבית והחזר הוצאות משנים קודמות,51,5,,REVENUE,,,
ריבית ודיבידנדים,511,51,,REVENUE,,,
תקבולים מהחזר הוצאות משנים קודמות,513,51,,REVENUE,,,
החזר מקרנות והכנסות מיוחדות,59,5,,REVENUE,,,
החזרות מקרנות,591,59,,REVENUE,,,
החזרות מקרן למחסנים,5911,591,,REVENUE,,,
החזרות מקרו למניות,5912,591,,REVENUE,,,
החזרות מקרן הלוואות לעובדים,5913,591,,REVENUE,,,
החזרות מקרך גמ״ח לועדים מקומיים,5914,591,,REVENUE,,,
החזרות מקרן לחידוש רכב וציוד,5915,591,,REVENUE,,,
החזרות מקרן לשיכונים,5916,591,,REVENUE,,,
החזרות מקרנות אחרות,5919,591,,REVENUE,,,
הכנסות מיוחדות ובלתי נצפות מראש,594,59,,REVENUE,,,
הכנסות לכיסוי גרעון,599,5,,REVENUE,,,
העברת מענק לכיסוי גרעון מצטבר,5991,599,,REVENUE,,,
יתרה מתקציבים רגילים קודמים,5992,599,,REVENUE,,,
הלוואות לאיזון התקציב הרגיל,5999,599,,REVENUE,,,
