PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
111,,1.111000.100,ארנונה כללית,Property tax,,,15500000,15318979.28
113,,1.113000.100,הנחות מימון-ארנונה,Property tax-Financing expenses,,,230000,217298.95
115,,1.115000.100,הנחות לזכאים-ארנונה,Property tax-eligibility discounts,,,1300000,1193311.61
191,,1.191000.910,מענק כללי לאיזון,General balancing grant,,,12640000,12656264.77
192,,1.192000.910,מענק חד-פעמי יעודי,One-time dedicated grant,,,12640000,12636262.2
2123,,1.212300.220,אגרת אסוף ובעור אשפה,Garbage collection and disposel fee,,,700000,707774
2123,,1.212300.490,הכנסות מתאגיד תמיר,Incomes from Tamir corporation,,,0,0
214,,1.214000.220,אגרת פיקוח וטרינרי,Veterinary inspection fee,,,15000,18900
214,,1.214000.221,אג.חסון והסגר כלבים,Dog's vaccine & quarantine fee,,,60000,51621.3
215,,1.215000.220,אגרת הדברת מזיקים,Pesticides fee,,,25000,22573
222,,1.222000.500,החזר שכר רבשצ וסייר-מת',Security & patrol coordinator wage returns ,,,0,0
2221,,1.222100.990,הכנסות-משמר אזרחי,Incomes - civil police,,,6000,4740
227,,1.227000.970,מענק פקער-הגמר,Grant - civil defence,,,2030000,1968809
231,,1.231000.220,אג.מכרזים ושר.הנדסה,Tender & engineering service fee,,,15000,36800.01
231,,1.231000.590,העברה מקרן היטל השבחה,Transfers from betterment levy,,,0,0
233,,1.233000.220,אגרת רשיונות בניה,Building license fee,,,2850000,2866761.85
233,,1.233000.221,העתקי טפסים-מחלקת הנדסה,Forms copies - engineering department,,,0,1350
242,,1.242000.290,הכנסות מעבודות שונות,Incomes - general works,,,800000,1091416
269,,1.269000.500,החזר שכר כללי,General wage return,,,80000,73451.98
269,,1.269000.640,הכנסות שכר דירה,Income - apartment rents,,,50000,53747
269,,1.269000.690,הכנסות שונות,incomes - general,,,30000,168091.57
311,,1.311000.420,הכ'הורים-מפעל הזנה לאומ,"Incomes - parents, national feeding plan ",,,650000,589540.75
311,,1.311000.920,הסעת מורים וגננות,Teacher's transportaion,,,1500000,1320415.55
311,,1.311000.922,מ.חינוך-הכ.תקשוב לאומי,Ministry of Education - national ICT ,,,0,0
3111,311|31|3,1.311100.490,שונות-חנוך,Education - misc.,,,5000,14395
03,3122|312|31|3,1.312203.410,שכר לימוד-גני מועדון צה,Tuition - extended day preschool program,,,21000,12000
10,3122|312|31|3,1.312210.410,שכר לימוד גני-ילדים,Tuition - preschools,,,2700000,2768840.96
10,3122|312|31|3,1.312210.790,השת.ב'ל-גנים טיפוליים,?? Payment - Special education / theraputic preschools,,,0,37155
10,3122|312|31|3,1.312210.920,הכנסות יוח'א גנים,Income form extended day preschool programs,,,200000,305277.83
10,3122|312|31|3,1.312210.922,סייעות טיפוליות-גנים,Assistants for special education / theraputic preschools,,,10000,52403.05
10,3122|312|31|3,1.312210.923,גננות שי'ח וח'מ,Special education preschool teachers ,,,0,24366.8
10,3122|312|31|3,1.312210.940,סיעת רפואית גנים-מ.בריאות,Medical assistant for preschools - payment by Ministry of Health,,,0,15430
10,3123|312|31|3,1.312310.420,גנים עודפים בישובים,Kindergarten surplus in communities,,,0,98555
10,3123|312|31|3,1.312310.920,שכל'מ ועו'ג-גנים,Tuition and ?? kindergartens ,,,8900000,8912148.68
10,3124|312|31|3,1.312410.410,השתתפות הורים-מעונות,Day care centers - parent payments,,,0,0
10,3124|312|31|3,1.312410.930,השתתפות ממשלה-מעונות,Day care centers - Government payments,,,3000000,4122783
11,3132|313|31|3,1.313211.420,הורים-ח.משלים-אלו'ש,Alon Shvut community supplemental education program - parent payments,,,1732000,1467731.75
11,3132|313|31|3,1.313211.421,שונות ח.משלים-אלו'ש,Alon Shvut community supplemental education program - misc.,,,0,85756.3
11,3132|313|31|3,1.313211.920,"שרתים,מזכירים-אלו'ש","Alon Shvut community maintenance workers, secretaties",,,660000,732007.82
11,3132|313|31|3,1.313211.921,מ.חנוך-ח.משלים-אלו'ש,Alon Shvut community supplemental education program - Ministry of Education payment,,,50000,73538.05
11,3132|313|31|3,1.313211.922,סייעות כיתתיות-ביס אלוש,Alon Shvut school - class teaching assistants,,,360000,576046.32
11,3132|313|31|3,1.313211.923,מ.חנוך-פרויקט יהדות-אלו,Alon Shvut Judaism Project - Ministry of Education payment,,,180000,175924.49
11,3132|313|31|3,1.313211.924,"מ.חינוך-השת.בטיולים-אלו""ש",Alon Shvut school trips - Ministry of Education payment ,,,0,0
12,3132|313|31|3,1.313212.420,הורים-חנ.משלים-ממד 2 ג',"Supplemental education program, regional state religious school 2 - parent payments",,,1050000,936510.48
12,3132|313|31|3,1.313212.421,שונות חנ.משלים-ממד 2 ג',"Supplemental education, regional state religious school 2- misc.",,,0,0
12,3132|313|31|3,1.313212.920,"שרתים,מזכירים-ממד 2 ג'צ","Maintenance, secretaties regional state religious school 2",,,500000,514955.75
12,3132|313|31|3,1.313212.921,מ.חנוך-ח.משלים-ממד 2 ג',"Supplemental education program, regional state religious school 2 - Ministry of Education payments",,,30000,47333.3
12,3132|313|31|3,1.313212.922,סייעות כיתתיות-ממד 2 ג',"Class teaching assistants, regional state religious school 2",,,453000,543971.3
12,3132|313|31|3,1.313212.923,מ.חנוך-ח.מיוחד-ממד 2 ג',"Special education, regional state religious school 2 - Ministry of Education payments",,,50000,33091.82
12,3132|313|31|3,1.313212.924,"מ.חינוך-השת.בטיולים-ג""צ",School trips - Ministry of Education payments,,,0,0
12,3132|313|31|3,1.313212.940,סיעת רפואית ג'צ-מ.בריאו,Medical assistant  - Ministry of Health payment ,,,0,11570
13,3132|313|31|3,1.313213.430,השת.רשויות-סייעות ראשית,"Assitants - ""Reysheet"" special education state religious school, local councils' payments",,,278000,196719
13,3132|313|31|3,1.313213.920,"שרתים,מזכירים-ב'ס ראשית","Maintenance, secretaties Reysheet School ",,,500000,535490.47
13,3132|313|31|3,1.313213.921,מ.חנוך-חנוך מיוחד-ראשית,Special education Reysheet school - Ministry of Education payments,,,60000,54014.31
13,3132|313|31|3,1.313213.922,מ.חנוך-סייעות-ב'ס ראשית,Assitants - Reysheet  school - Ministry of Education payments,,,507000,617723.15
13,3132|313|31|3,1.313213.923,מ.חנוך-השת'בשכ'ד-ראשית,Reysheet school rent - Ministry of Education payments,,,207000,185850
13,3132|313|31|3,1.313213.924,מ.חינוך-השת.בטיולים-ראשית,Reysheet school trips - Ministry of Education payments,,,0,0
14,3132|313|31|3,1.313214.420,הורים-ח.משלים-תקוע,Supplemental education program Tkoa settlement,,,315000,247295.96
