PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
12,6111|611|61|6,1.611112.124,החזר הוצאות,,,,46000,33320
14,6111|611|61|6,1.611114.126,הבראה,,,,3000,2430
15,6111|611|61|6,1.611115.127,השתתפות באחזקת רכב03,,,,48000,83438
19,6111|611|61|6,1.611119.130,תשלומים מיוחדים,,,,3000,7416
12,6111|611|61|6,1.611112.181,מיסים וביטוח לאומי,,,,333000,350898
13,6111|611|61|6,1.611113.182,קופות גמל והשתלמות,,,,439000,426690
13,6111|611|61|6,1.611113.230,ראש העיריה וסגניו07,,,,2559000,2522398
19,6111|611|61|6,1.611119.463,טלפונים,,,,12000,8710
14,6111|611|61|6,1.611114.531,אחזקת רכב,,,,33000,13556
16,6111|611|61|6,1.611116.533,שכירת רכב,,,,319000,228998
17,6111|611|61|6,1.611117.534,דלק ושמן,,,,102000,78084
12,6111|611|61|6,1.611112.781,הוצאות שונות,,,,338000,201362
13,6111|611|61|6,1.611113.782,ייעוץ,,,,140000,56608
21,6111|611|61|6,1.611121.110,משכורת כוללת,,,,1926000,1799803
27,6111|611|61|6,1.611127.124,החזר הוצאות,,,,94000,91403
29,6111|611|61|6,1.611129.126,הבראה,,,,66000,63499
21,6111|611|61|6,1.611121.127,השתתפות באחזקת רכב013,,,,335000,299652
25,6111|611|61|6,1.611125.130,תשלומים מיוחדים,,,,184000,165308
27,6111|611|61|6,1.611127.181,מיסים וביטוח לאומי,,,,375000,340211
28,6111|611|61|6,1.611128.182,קופות גמל והשתלמות,,,,293000,325355
27,6111|611|61|6,1.611127.310,שעות נוספות רשומות,,,,134000,102712
24,6111|611|61|6,1.611124.340,שעות נוספות מיוחדות,,,,253000,176242
23,6111|611|61|6,1.611123.412,מיסים ואגרות,,,,1000,758
28,6111|611|61|6,1.611128.433,ביטוח,,,,21000,20309
29,6111|611|61|6,1.611129.434,תקוני מבנים  מתקנים ואינונטר,,,,11000,2176
25,6111|611|61|6,1.611125.439,אחזקת בניני העיריה0השתתפות,,,,180000,179928
23,6111|611|61|6,1.611123.461,צרכי משרד,,,,30000,28760
24,6111|611|61|6,1.611124.462,ספרים ועתונים,,,,4000,1749
25,6111|611|61|6,1.611125.463,טלפונים,,,,33000,17223
24,6111|611|61|6,1.611124.510,נסיעות  ואש ל,,,,15000,7968
27,6111|611|61|6,1.611127.521,הדרכה וכנסים,,,,5000,695
28,6111|611|61|6,1.611128.522,גיבוש יחידתי,,,,2000,4000
29,6111|611|61|6,1.611129.531,אחזקת רכב,,,,8000,659
22,6111|611|61|6,1.611122.533,שכירת רכב ורכב עירוני,,,,80000,79163
23,6111|611|61|6,1.611123.534,דלק ושמן,,,,36000,20546
22,6111|611|61|6,1.611122.541,אחזקת מכשירי קשר,,,,97000,63043
27,6111|611|61|6,1.611127.610,כיבודים,,,,11000,10025
21,6111|611|61|6,1.611121.670,סעיף שאינו חוזר,,,,6000,48
28,6111|611|61|6,1.611128.693,מחשוב יחידתי,,,,8000,14198
27,6111|611|61|6,1.611127.781,הוצאות אחרות,,,,5000,4148
28,6111|611|61|6,1.611128.782,קידום מעמד האישה,,,,169000,189688
29,6111|611|61|6,1.611129.783,פעולות תרבות,,,,21000,19719
24,6111|611|61|6,1.611124.932,ציוד ורהוט משרדי,,,,5000,3226
