PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
111,11|1,1.111000.100,ארנונה כללית,Property Tax - general,,,77900000,81313823.17
1112,111|11|1,1.111200.100,ארנונה פיגורים,Property Tax - delays,,,11000000,10467596.39
1112,111|11|1,1.111200.199,העלאת ארנונה,Property Tax Increase,,,1568520,
113,11|1,1.113000.100,הנחות ארנונה מראש,Property Tax Discount in Advance,,,767000,646818.92
116,11|1,1.116000.100,הנחות ארנונה,Property Tax Discount,,,18508000,20647781.89
121,12|1,1.121000.220,"אישורים- טאבו, אגרת מידע","Permits - Tabu, Information Toll",,,33000,49386.78
122,12|1,1.122000.220,הכנסות משלטים,Income from Billboards,,,1200000,822197.13
124,12|1,1.124000.220,אגרות אכיפה- החזרים מתושבים,Enforcement Tolls - Citizens' Refunds,,,900000,738064.07
124,12|1,1.124000.221,"שכ""ט - החזרים מתושבים",Fee for Professional Services - Citizens' Refunds,,,37000,27345.14
1241,124|12|1,1.124100.220,מודעות על לוחות,Adds on Notice Boards,,,19000,22040
16,1,1.160000.660,הכנסות מימון מספקים,Funding income for Suppliers,,,100000,230859.53
192,19|1,1.192000.910,מענקים חד פעמיים מ.הפנים,One-time Grants Ministry of Interior,,,400000,334702
195,19|1,1.195000.910,"מענקים - מפע""מ מצ'ינג",Grants - ??? matching,,,81400,60767
196,19|1,1.196000.910,השת.הממשלה בבחירות,Goverment participation in Election,,,,
2123,212|21|2,1.212300.220,הכנסות מכלי אשפה,Garbage disposals income,,,1055000,1082484.52
213,21|2,1.213000.220,רשיונות עסק,Business permits,,,34000,47105
2142,214|21|2,1.214200.290,וטרינרי בשר ודגים הכנסות,Meat and fish veterinary income,,,238000,230812
01,2142|214|21|2,1.214201.290,וטרינרי עופות הכנסות,Poultry veterinary income,,,155000,127539
02,2142|214|21|2,1.214202.290,וטרינרי חיסונים הכנסות,Vaccines veterinary income,,,381000,361336.21
03,2142|214|21|2,1.214203.290,וטרינרי השתת' עיריות,Veterinary Municipal participation,,,833482,1125206
04,2142|214|21|2,1.214204.290,וטרינרי קנסות הכנסות,Veterinary Fines Income,,,50000,60174
05,2142|214|21|2,1.214205.290,וטרינרי תעודות הכנסות,Veterinary Certificates Income,,,6800,1198
05,2142|214|21|2,1.214205.690,שרות וטרינרי שונות,Veterinary Service misc.,,,,
09,2142|214|21|2,1.214209.960,השתת' משרד החקלאות,Participation of Ministry of Agriculture,,,,
2221,222|22|2,1.222100.910,משמר אזרחי השת.הממשלה,Civil Guard Government participation,,,10000,12398
225,22|2,1.225000.220,שמירה - חוק עזר,Guarding - municipal law,,,1100000,1019773.26
2262,226|22|2,1.226200.910,"מל""ח הכנסות ממשלה",??? Government income,,,,429.92
2331,233|23|2,1.233100.490,אגרות בניה,Construction tolls,,,2128419,2332590
242,24|2,1.242000.000,סימון כבישים -השתת' ממשלה,Road marking - government participation,,,,
