PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
12,6111|611|61|6,1.611112.124,החזר הוצאות,,,,41000,
14,6111|611|61|6,1.611114.126,הבראה,,,,2000,
15,6111|611|61|6,1.611115.127,השתתפות באחזקת רכב03,,,,152000,
19,6111|611|61|6,1.611119.130,תשלומים מיוחדים,,,,3000,
12,6111|611|61|6,1.611112.181,מיסים וביטוח לאומי,,,,404000,
13,6111|611|61|6,1.611113.182,קופות גמל והשתלמות,,,,461000,
13,6111|611|61|6,1.611113.230,ראש העיריה וסגניו07,,,,3026000,
19,6111|611|61|6,1.611119.463,טלפונים,,,,12000,
14,6111|611|61|6,1.611114.531,אחזקת רכב,,,,25000,
16,6111|611|61|6,1.611116.533,שכירת רכב,,,,270000,
17,6111|611|61|6,1.611117.534,דלק ושמן,,,,89000,
12,6111|611|61|6,1.611112.781,הוצאות שונות,,,,388000,
13,6111|611|61|6,1.611113.782,ייעוץ,,,,140000,
21,6111|611|61|6,1.611121.110,משכורת כוללת,,,,2050000,
27,6111|611|61|6,1.611127.124,החזר הוצאות,,,,162000,
29,6111|611|61|6,1.611129.126,הבראה,,,,70000,
21,6111|611|61|6,1.611121.127,השתתפות באחזקת רכב013,,,,305000,
25,6111|611|61|6,1.611125.130,תשלומים מיוחדים,,,,164000,
27,6111|611|61|6,1.611127.181,מיסים וביטוח לאומי,,,,395000,
28,6111|611|61|6,1.611128.182,קופות גמל והשתלמות,,,,316000,
27,6111|611|61|6,1.611127.310,שעות נוספות רשומות,,,,137000,
24,6111|611|61|6,1.611124.340,שעות נוספות מיוחדות,,,,259000,
23,6111|611|61|6,1.611123.412,מיסים ואגרות,,,,1000,
28,6111|611|61|6,1.611128.433,ביטוח,,,,23000,
29,6111|611|61|6,1.611129.434,תקוני מבנים  מתקנים ואינונטר,,,,11000,
25,6111|611|61|6,1.611125.439,אחזקת בניני העיריה0השתתפות,,,,180000,
23,6111|611|61|6,1.611123.461,צרכי משרד,,,,35000,
24,6111|611|61|6,1.611124.462,ספרים ועתונים,,,,4000,
25,6111|611|61|6,1.611125.463,טלפונים,,,,21000,
24,6111|611|61|6,1.611124.510,נסיעות  ואש ל,,,,15000,
27,6111|611|61|6,1.611127.521,הדרכה וכנסים,,,,5000,
28,6111|611|61|6,1.611128.522,גיבוש יחידתי,,,,2000,
29,6111|611|61|6,1.611129.531,אחזקת רכב,,,,8000,
22,6111|611|61|6,1.611122.533,שכירת רכב ורכב עירוני,,,,80000,
23,6111|611|61|6,1.611123.534,דלק ושמן,,,,42000,
22,6111|611|61|6,1.611122.541,אחזקת מכשירי קשר,,,,97000,
27,6111|611|61|6,1.611127.610,כיבודים,,,,11000,
21,6111|611|61|6,1.611121.670,סעיף שאינו חוזר,,,,0,
28,6111|611|61|6,1.611128.693,מחשוב יחידתי,,,,15000,
27,6111|611|61|6,1.611127.781,הוצאות אחרות,,,,5000,
28,6111|611|61|6,1.611128.782,קידום מעמד האישה,,,,239000,
29,6111|611|61|6,1.611129.783,פעולות תרבות,,,,21000,
24,6111|611|61|6,1.611124.932,ציוד ורהוט משרדי,,,,5000,
36,6111|611|61|6,1.611136.110,משכורת כוללת,,,,3796000,
33,6111|611|61|6,1.611133.124,החזר הוצאות,,,,250000,
35,6111|611|61|6,1.611135.126,הבראה,,,,209000,
36,6111|611|61|6,1.611136.127,השתתפות באחזקת רכב 034,,,,910000,
31,6111|611|61|6,1.611131.130,תשלומים מיוחדים,,,,630000,
33,6111|611|61|6,1.611133.181,מיסים וביטוח לאומי,,,,748000,
34,6111|611|61|6,1.611134.182,קופות גמל והשתלמות,,,,584000,
34,6111|611|61|6,1.611134.230,משימה חולפת01,,,,65000,
33,6111|611|61|6,1.611133.310,שעות נוספות רשומות,,,,104000,
38,6111|611|61|6,1.611138.412,מיסים ואגרות,,,,3000,
34,6111|611|61|6,1.611134.433,ביטוח,,,,90000,
38,6111|611|61|6,1.611138.461,צרכי משרד,,,,12000,
31,6111|611|61|6,1.611131.463,טלפונים,,,,20000,
39,6111|611|61|6,1.611139.510,נסיעות  ואש ל,,,,0,
33,6111|611|61|6,1.611133.521,הדרכה וכנסים,,,,5000,
34,6111|611|61|6,1.611134.522,גיבוש יחידתי,,,,5000,
35,6111|611|61|6,1.611135.531,אחזקת רכב,,,,5000,
37,6111|611|61|6,1.611137.533,שכירת רכב ורכב עירוני,,,,36000,
38,6111|611|61|6,1.611138.534,דלק ושמן,,,,17000,
33,6111|611|61|6,1.611133.610,כיבודים,,,,0,
36,6111|611|61|6,1.611136.670,סעיף שאינו חוזר,,,,0,
34,6111|611|61|6,1.611134.693,מחשוב יחידתי,,,,15000,
36,6111|611|61|6,1.611136.751,עבודות ע י גו ח,,,,65000,
39,6111|611|61|6,1.611139.932,ציוד וריהוט משרדי,,,,5000,
16,6111|611|61|6,1.611216.439,אחזקת בניני העיריה0השתתפות,,,,1310000,
12,6112|611|61|6,1.611212.670,סעיף שאינו חוזר,,,,10000,
18,6112|611|61|6,1.611218.781,סל שירותים לחברי מועצה,,,,437000,
19,6112|611|61|6,1.611219.782,סל ועדות עירוניות,,,,40000,
27,6112|611|61|6,1.611227.110,משכורת כוללת,,,,149000,
24,6112|611|61|6,1.611224.124,החזר הוצאות,,,,6000,
26,6112|611|61|6,1.611226.126,הבראה,,,,6000,
27,6112|611|61|6,1.611227.127,השתתפות באחזקת רכב 0 1,,,,36000,
22,6112|611|61|6,1.611222.130,תשלומים מיוחדים,,,,38000,
24,6112|611|61|6,1.611224.181,מיסים וביטוח לאומי,,,,33000,
25,6112|611|61|6,1.611225.182,קופות גמל והשתלמות,,,,24000,
24,6112|611|61|6,1.611224.310,שעות נוספות רשומות,,,,25000,
25,6112|611|61|6,1.611225.433,ביטוח,,,,2000,
29,6112|611|61|6,1.611229.461,צרכי משרד,,,,35000,
21,6112|611|61|6,1.611221.462,ספרים ועתונים,,,,4000,
22,6112|611|61|6,1.611222.463,טלפונים,,,,12000,
23,6112|611|61|6,1.611223.464,דאר,,,,2000,
24,6112|611|61|6,1.611224.610,כיבודים,,,,36000,
27,6112|611|61|6,1.611227.751,עבודה בקבלנות,,,,145000,
28,6112|611|61|6,1.611228.752,אבטחת ישיבות המועצה,,,,55000,
07,6121|612|61|6,1.612107.110,משכורת כוללת,,,,995000,
04,6121|612|61|6,1.612104.124,החזר הוצאות,,,,42000,
06,6121|612|61|6,1.612106.126,הבראה,,,,30000,
07,6121|612|61|6,1.612107.127,השתתפות באחזקת רכב0 5,,,,165000,
02,6121|612|61|6,1.612102.130,תשלומים מיוחדים,,,,52000,
04,6121|612|61|6,1.612104.181,מיסים וביטוח לאומי,,,,169000,
05,6121|612|61|6,1.612105.182,קופות גמל והשתלמות,,,,122000,
05,6121|612|61|6,1.612105.230,משימות חולפות0 1.2,,,,65000,
05,6121|612|61|6,1.612105.433,ביטוח,,,,22000,
06,6121|612|61|6,1.612106.434,תקוני מבנים  מתקנים ואינונטר,,,,20000,
02,6121|612|61|6,1.612102.439,אחזקת בניני העיריה0השתתפות,,,,760000,
09,6121|612|61|6,1.612109.461,צרכי משרד,,,,20000,
01,6121|612|61|6,1.612101.462,ספרים ועתונים,,,,3000,
02,6121|612|61|6,1.612102.463,טלפונים,,,,9000,
03,6121|612|61|6,1.612103.464,דאר,,,,2000,
05,6121|612|61|6,1.612105.522,גיבוש יחידתי,,,,2000,
08,6121|612|61|6,1.612108.541,אחזקת מכשירי קשר,,,,3000,
04,6121|612|61|6,1.612104.610,כיבודים,,,,8000,
09,6121|612|61|6,1.612109.680,הוצאות   מיוחדות,,,,2000,
03,6121|612|61|6,1.612103.691,מערכות מידע ומחשוב,,,,70000,
05,6121|612|61|6,1.612105.693,מחשוב יחידתי,,,,40000,
07,6121|612|61|6,1.612107.695,תקשורת  ציוד והתקנה,,,,2000,
04,6121|612|61|6,1.612104.781,דמי חבר לארגונים ארציים ובי נ,,,,2000,
