PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
111,11|1,1.111000.100,ארנונה כללית,Property Tax - general,,,87202000,93386996.43
1112,111|11|1,1.111200.100,ארנונה פיגורים,Property Tax - delays,,,11000000,21858920.42
1112,111|11|1,1.111200.199,העלאת ארנונה,Property Tax Increase,,,,
113,11|1,1.113000.100,הנחות ארנונה מראש,Property Tax Discount in Advance,,,950000,1008723.2
116,11|1,1.116000.100,הנחות ארנונה,Property Tax Discount,,,22000000,23145398.98
121,12|1,1.121000.220,"אישורים- טאבו, אגרת מידע","Permits - Tabu, Information Toll",,,40000,46291.54
122,12|1,1.122000.220,הכנסות משלטים,Income from Billboards,,,1000000,1328747.35
124,12|1,1.124000.220,אגרות אכיפה- החזרים מתושבים,Enforcement Tolls - Citizens' Refunds,,,120000,565453.54
124,12|1,1.124000.221,"שכ""ט - החזרים מתושבים",Fee for Professional Services - Citizens' Refunds,,,52000,28431.67
1241,124|12|1,1.124100.220,מודעות על לוחות,Adds on Notice Boards,,,16000,9110
16,1,1.160000.660,הכנסות מימון מספקים,Funding income for Suppliers,,,100000,174285.65
192,19|1,1.192000.910,מענקים חד פעמיים מ.הפנים,One-time Grants Ministry of Interior,,,300000,405769
195,19|1,1.195000.910,"מענקים - מפע""מ מצ'ינג",Grants - ??? matching,,,32000,77670
196,19|1,1.196000.910,השת.הממשלה בבחירות,Goverment participation in Election,,,,
2123,212|21|2,1.212300.220,הכנסות מכלי אשפה,Garbage disposals income,,,1055000,907332.86
213,21|2,1.213000.220,רשיונות עסק,Business permits,,,56000,49417
2142,214|21|2,1.214200.290,וטרינרי בשר ודגים הכנסות,Meat and fish veterinary income,,,230000,242763.67
01,2142|214|21|2,1.214201.290,וטרינרי עופות הכנסות,Poultry veterinary income,,,120000,187325.33
02,2142|214|21|2,1.214202.290,וטרינרי חיסונים הכנסות,Vaccines veterinary income,,,380000,458535.66
03,2142|214|21|2,1.214203.290,וטרינרי השתת' עיריות,Veterinary Municipal participation,,,1292581,1424234
04,2142|214|21|2,1.214204.290,וטרינרי קנסות הכנסות,Veterinary Fines Income,,,30000,41744
05,2142|214|21|2,1.214205.290,וטרינרי תעודות הכנסות,Veterinary Certificates Income,,,,
05,2142|214|21|2,1.214205.690,שרות וטרינרי שונות,Veterinary Service misc.,,,,
09,2142|214|21|2,1.214209.960,השתת' משרד החקלאות,Participation of Ministry of Agriculture,,,,80000
2221,222|22|2,1.222100.910,משמר אזרחי השת.הממשלה,Civil Guard Government participation,,,10000,17671
225,22|2,1.225000.220,שמירה - חוק עזר,Guarding - municipal law,,,1100000,1376355.92
2262,226|22|2,1.226200.910,"מל""ח הכנסות ממשלה",??? Government income,,,,10000
