PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
01,111|11|1,1.111001.100,ארנונה למגורים,Residential property tax,,,9975000,9932372.94
99,1119|111|11|1,1.111999.999,עיקולי בנקים,Bank forclosures/seizures,,,0,3514.8
01,112|11|1,1.112001.101,ארנונה לעסקים וקרקע תפוסה,Business and occupied land property tax  ,,,3264000,3052454.15
01,112|11|1,1.113001.110,הנחות ארנונה,Property tax discounts,,,630000,644640
129,,1.129000.420,דמי השתתפות במכרז,Tender participation fee,,,30000,33500
2124,,1.212400.220,אגרת פינוי אשפה,Garbage collection fee,,,10000,4480.8
2124,,1.212400.620,מכירת ציוד יסודי-מטאטא,Sales of basic equipment  ,,,7000,6666
2142,,1.214200.220,אגרת רישיון כלבים,Dog license fee,,,15000,13191.5
2143,,1.214300.220,אגרת שיחרור כלבים,Dog pound release fee,,,60000,6101.7
2144,214|21|2,1.214400.220,אגרת טיפול במזיקים,Pest control fee,,,,
2145,214|21|2,1.214500.220,אגרת ביוב מתושבים,Resident sewage fee,,,,
22,,1.220000.220,אגרת שילוט,Signpost fee ,,,52000,43976.2
222,,1.222000.290,אגרות שונות,Miscellaneous fees,,,21000,16596.73
222,,1.222000.420,אגרות שמירה,Security fees,,,420000,466935.3
222,,1.222000.994,השתתפפות משטרה בשמירה,Police share in security ,,,,
226,,1.226000.910,השתת.  משרד הפנים,Ministry of Interior share/support,,,0,7818
2331,,1.233100.290,אגרת רשיון בניה,Building license fee,,,160000,77727.5
2444,,1.244400.991,סימון דרכים-השתת מ.תחבורה,Road marking - Ministry of Transportation share,,,50000,266617
269,,1.269000.420,הכנסות שונות,Miscellaneous revenues,,,50000,143393.5
281,,1.281000.420,גיזום וניקוי חצרות,Pruning and yard cleaning ,,,15000,1330.23
283,28|2,1.283000.420,ברירות קנס -חשבון 617226,Fine defaults account 617226,,,0,85
3122,,1.312200.410,"אג""ח גן חובה",Kindergarten/preschool fee,,,24000,21218.8
3122,,1.312200.920,"השתת.מ.החינוך גנ""י",Kindergartens - Ministry of Education share,,,220000,379610.25
3123,,1.312300.410,אג'ח גן טרום חובה, Pre-kindergarten fee ,,,290000,62712.93
3124,,1.312400.420,השכרת בית שפיצר-גן דלית,Rent from Spitzer House / Dalit kindergarten,,,50000,36600
3125,,1.312500.420,השתת'הורים צהרון גנ'י,"Afternoon kindergarten child care program, parent payments",,,300000,346278.49
3132,,1.313200.420,השתתפות בית ספר,School share ,,,,
3132,,1.313200.920,השתת.מ.החינוך ב'יס,School - Ministry of Education share,,,350000,468175.73
3133,,1.313300.420,השתת'בסייעות,Teaching assistants - Ministry of Education share,,,40000,64389.97
3138,,1.313800.420,קייטנה גני ילדים,Summer day camp kindergartens,,,110000,101260.8
3171,,1.317100.920,"קבטי""ם השתת'מ.החינוך",Security personel - Ministry of Education share,,,20000,20611.88
3173,,1.317300.420,מרכז כלנית-איבחון,Calanit Diagnostic Center for children with special needs - Diagnostics,,,350000,368004.62
3173,,1.317300.920,השתת' מש.חינוך-פסיכולוגי,Psychological services - Ministry of Education share,,,82000,92970.85
3178,,1.317800.420,הסעות תלמידים,Student transportation,,,110000,23969.5
3178,,1.317800.920,השתת' מש.חינוך-הסעות,Student transportation - Ministry of Education share,,,35000,194418.89
3193,319|31|3,1.319300.420,פעולות ספורט,Sports activities,,,,
3193,319|31|3,1.319300.920,השתת' משרד התרבות והספורט,Sports - Ministry of Culture and Sports share,,,,
323,,1.323000.420,השתת. תושבים בספריה,Citizens share in library budget,,,2000,3230
3243,324|32|3,1.324300.420,צהרון וייל,Weil Center after-school child care program,,,330000,325768.03
3261,,1.326100.420,חוגים מרכז וייל,Weil Center after-school activities,,,3200000,3453901.69
3261,,1.326100.421,הכנסות וייל ש.קודמות,Weil Center income from previous years,,,0,0
3264,,1.326400.420,הופעות באודיטוריום,Auditorium performances ,,,1500000,1008501.09
3293,329|32|3,1.329300.420,פעולות ספורט,Sports events,,,4000,7157
34,,1.340000.930,השתת' מ.הרווחה,Ministry of Social Affairs and Social Services share,,,505000,420512
3438,,1.343800.420,אחזקת ילדים בפנימיה,Boarding school expenses,,,15000,0
3443,,1.344300.420,שרותים לזקן במוסדות,Services for the elderly in institutions,,,5000,0
3444,,1.344400.420,השתתפות תושבים מועדון +,Citizens share in Club Plus,,,360000,330000.79
44,,1.440000.420,מכירת כרטיסי חניה,Sale of parking stubs,,,250000,502810.79
443,,1.443100.420,קנסות חניה,Parking violation fines ,,,750000,614981.81
4432,443|44|4,1.443200.420,רישוי עסקים-קנסות בית משפט,Business licensing court fines,,,0,26000
511,,1.511000.661,ריבית,Interest,,,750000,750000
513,51|5,1.513000.690,תקבולים שנים קודמות,Receipts from previous years,,,0,0
581,58|5,1.581100.420,הכנסה מותנית ארנונה,Conditional property tax revenue,,,,
5913,,1.591300.661,ריבית מהלוואות עובדים,Employee loan interests,,,2000,2774.35
5913,,1.591300.990,העב'יתרות ש.קודמות,Transfer of balances from previous years,,,1447000,320000
08,5919|591|59|5,1.591908.590,העברה מקרן פיתוח עבור מחלקת הנדסה,Transfer from the development fund for the engineering department,,,7657000,5959535.8
611,,1.611000.110,שכר ראש הרשות,Salary of the Head of the Municipal Council,,,695000,690909.37
612,,1.612000.110,מבקר פנים,Internal auditor ,,,85000,78997.27
612,,1.612000.750,יעוץ מערכות מידע,IT consultancy,,,38000,36042.6
6131,613|61|6,1.613100.110,מזכירה ראשית,Head secretary,,,135000,141152.26
6131,613|61|6,1.613100.430,מים-כח-חמרי ניקוי,Water-power-cleaning supplies,,,9000,8998.83
6131,613|61|6,1.613100.471,אחזקת מכונות משרד,Office equipment maintenance,,,9000,4511.4
6131,613|61|6,1.613100.472,רכישת ציוד יסודי ואחזקתו,Basic office equipment procurement and maintenance,,,12000,12108.03
6131,613|61|6,1.613100.510,כיבוד,Refreshments ,,,20000,28725.04
6131,613|61|6,1.613100.521,השתלמויות עובדים,Employee  professional development ,,,125000,144238
6131,613|61|6,1.613100.522,רשומות ועיתונות,Newspapers and subscriptions,,,35000,35383.72
6131,613|61|6,1.613100.523,משלוחים ונסיעות,Deliveries and travel,,,5000,6759.2
6131,613|61|6,1.613100.540,טלפון ודאר,Telephone and mail,,,135000,178023.08
6131,613|61|6,1.613100.542,שירותי מיחשוב,Computer services,,,277000,314340.54
6131,613|61|6,1.613100.560,משרדיות והדפסות,Office and printing expenses ,,,70000,51274.05
6132,613|61|6,1.613200.560,מנגנון הוצאות שונות,Miscellaneous expenses,,,60000,29671.92
614,,1.614000.750,אחזקת אתר אינטנרט,Website maintenance,,,75000,76797.6
614,,1.614000.780,עלונים והסברה,Brochures and publicity ,,,45000,6960
614,,1.614000.781,עיתון מקומי,Local newspaper,,,26000,22194
614,,1.614100.750,יעוץ משרדים חיצוניים,External consultancy firms,,,50000,58086.54
617,,1.617000.750,יעוץ משפטי שוטף,Retainer legal consultancy,,,380000,415078.18
619,61|6,1.619000.780,בחירות,Elections,,,,
621,,1.621000.110,גזבר ומזכיר,Treasurer and secretary,,,370000,395415.18
621,,1.621000.530,ליסינג גזבר-מזכיר,Car lease for treasurer and secretary,,,75000,47257.09
6211,,1.621100.750,רכש,Procurement,,,150000,150177.5
6212,,1.621200.750,יועץ השקעות,Investment consultant,,,50000,48243.7
6213,,1.621300.750,שרותים - הנה'ח,Accountancy services,,,430000,385268
623,,1.623000.750,מערכת גביה,Collection system,,,215000,124260.02
631,,1.631000.610,הוצאות בנקאיות,Bank expenses,,,45000,46014.25
631,,1.631000.611,עמלת כרטיסי אשראי,Credit cards service charge ,,,150000,163835.53
7122,,1.712200.110,שכר עובדת ניקיון,Cleaning staff salary,,,115000,109256.38
7123,,1.712300.750,קבלן אשפה וגזם,Garbage and foliage collection contractor  ,,,1491000,1600729.13
714,,1.714000.750,וטרינר ע' קבלנית,Veterenary contractor,,,46000,40199
7143,,1.714300.750,לכדידת כלבים חתולים עב' קבלנית,Dog and cat catcher contractor,,,117000,49218.05
7153,,1.715300.750,הד' מזיקים-עב.קבלנית,Pest control contractor,,,145000,85427.95
722,,1.722000.750,שמירה-קבלן אבטחה,Security services contractor,,,600000,599445.2
723,,1.723000.812,פיקוד העורף,Army Home Front Command,,,25000,19067.56
724,,1.724000.830,כבאות-איגוד ערים,Firefighting - municipal association ,,,45000,45000
725,,1.725000.110,משמר הכפר,Civil Guard (Mishmar Ezrachi),,,105000,116748.53
725,,1.725000.530,"ליסינג-קב""ט",Car lease  for security officer,,,0,11516.94
725,,1.725000.780,משמר הכפר,Civil Guard (Mishmar Ezrachi),,,70000,112635.45
7251,725|72|7,1.725100.110, קב'ט,Security officer ,,,60000,62574.63
726,,1.726000.740,מל'ח/פס'ח,State of emergency/evacuation/relief,,,15000,21216.65
726,,1.726000.750,יחידת חילוץ,Rescue squad,,,0,7150.5
73,,1.730000.540,תקשורת-הנדסה,Communications - engineering,,,10000,9254.11
73,,1.730000.570,מיחשוב ושירות תוכנה,Computer and software services,,,213000,131560.28
73,,1.730000.750,תכנון-עבודה קבלנית,Planning contractor,,,800000,588360.13
731,,1.731000.110, מהנדס הרשות,Municipality engineer,,,350000,341656.39
731,,1.731000.530,ליסינג מחלקת הנדסה,Car lease for engineering department,,,75000,62032.86
731,,1.731000.750,"סקרי בטיחות,איטום",Safely and sealing surveys ,,,200000,46924.5
7311,731|73|7,1.731100.110,מזכירה מח'הנדסה,Engineering department secretary,,,110000,101704.46
7312,731|73|7,1.731200.110, מזכירות-כללית,General secretary,,,90000,87119.61
7312,731|73|7,1.731200.750,שמאות מקרקעין,Land and realestate apprasing ,,,1100000,1108436.17
7312,731|73|7,1.731200.930,רכישת רכב פולאריס,Purchase of a Toyota Polaris car,,,,
7313,731|73|7,1.731300.110,שכר הנדסאית,Practical engineer - salary,,,121000,115959.07
7313,731|73|7,1.731300.750,יעוץ מחשוב ותקשורת,Computre and communications consultancy,,,95000,95455.1
7314,731|73|7,1.731400.750,אחזקת ביוב,Sewage maintenance,,,68000,61618.33
10,7314|731|73|7,1.731410.750,עבודות עפר,Earthworks,,,35000,26351.5
7315,731|73|7,1.731500.750,תשתיות לאומיות,National infrastructure ,,,250000,141524.81
7315,731|73|7,1.731500.780,הוצ'שונות הנדסה,Misc engineering expenses,,,20000,17349.36
7316,731|73|7,1.731600.750,"שרותי מ.גביה,ה.השבחה","Collection department services, betterment tax",,,125000,104429.98
7317,731|73|7,1.731700.780,תשלום לוועדה מרחבית,Payment to the district planning and building committee ,,,400000,300000
7318,731|73|7,1.731800.750,משפטיות הנדסה,"Legal, engineering",,,350000,493163.88
7319,731|73|7,1.731900.750,סימון דרכים,Road marking ,,,80000,79061.14
7323,,1.732300.750,עבודה קבלנית,Contract work,,,1500000,387317
7323,,1.732300.751,מצלמות-עבודה קבלנית,Cameras - contract work,,,0,459906.32
7325,732|73|7,1.732500.750,הכנת תוכנית אב,Preparation of master plan,,,504000,244466.85
7345,734|73|7,1.734500.780,"ע""ש עבודות ניקוז -חד פעמי",Drainage work - one time ,,,0,0
7355,735|73|7,1.735500.530,אחזקת כלי רכב וביטוח,Maintenance and insurance on cars,,,293000,246142.76
741,,1.741000.110,מנהל אחזקה-שכר,Maintenance manager - salary,,,240000,234695.66
741,,1.741000.210,שכר עובדי אחזקה,Maintenance employees - salary,,,290000,322427.95
742,,1.742000.110,שמירת הסביבה-שכר,Environmental protection - salary,,,95000,132825.52
742,,1.742000.420,"אחזקה כללית-מוצרי ניקיון,מתקנים","General maintenance - cleaning supplies, repairs",,,379000,219931.06
742,,1.742000.421,אחזקת כלים,Tools maintenance ,,,5000,3495
742,,1.742000.432,צריכת מים,Water consumption,,,150000,140325.2
742,,1.742000.742,"מיזוג ,מעליות,מטפים,מ.גילוי","A/C, elevators, fire extinguishers, detection systems  ",,,71000,55023.02
742,,1.742000.781,מיחזור נייר ובקבוקים,Paper and bottle recycling,,,54000,48433.03
743,,1.743100.431,חשמל תאורת רחובות,Electricity and street lighting ,,,300000,294163.56
743,,1.743100.750,תאורת רחובות ע.קבלנית,Street lighting contractor,,,274000,219033.58
745,,1.745000.810,איגוד ערים לניקוז,Municipal association for drainage,,,14000,26493
746,,1.746000.720,"אח' גנים-צמים,מים,שונות","Gardening maintenance - plants, water, misc",,,,
746,,1.746000.750,קבלן גינון,Gardening contractor,,,403000,385218
746,,1.746000.780,משתלה,Nursery (gardening)  ,,,70000,46547.8
746,,1.746100.750,עובדי משק - קבלן,Cleaning and maintenance workers - contractor,,,1225000,1201050.24
769,,1.769000.440,ביטוחים,Insurance policies,,,280000,163466.28
78,,1.780000.532,אחזקה ודלק,Maintenance and fuel,,,,
781,,1.781000.110,מנהל מחלקת רישוי עסקים ופיתוח,Head of the Department of Business Licensing and Development,,,175000,149705.79
781,,1.781000.210,פקחים שכר,Salaried inspectors,,,265000,251454.26
781,,1.781000.750,פקחים מרכז מסחרי-עבודה קבלנית,Shopping center inspectors - contractor,,,0,0
781,,1.781000.940,אכיפת חוקי עזר,Enforcement of bylaws,,,300000,234096.88
812,,1.812000.110, סייעות לגננות,Kindergarten assistants ,,,420000,375450.79
8122,,1.812200.430,אחזקת גן תאנה,Maintenance - Te'ena kindergarten,,,14000,13911.44
8122,,1.812200.470,חומרים גן תאנה,Materials - Te'ena kindergarten ,,,12000,11986.1
8122,,1.812200.752,גננות עובדות מדינה,State employed kindergarten teachers,,,380000,333207.26
8122,,1.812200.780,גני ילדים  הוצ'שונות,Kindergartens - misc expenses,,,18000,14620
8122,,1.812200.810,גננות עובדות מדינה,State employed kindergarten teachers ,,,0,0
8123,,1.812300.430,אחזקת גן רימון,Maintenance - Rimon kindergarten ,,,14000,11008.63
8123,,1.812300.470,חומרים גן רימון,Materials - Rimon kindergarten,,,12000,11339.6
8124,812|81|8,1.812400.430,אחזקת גן גפן,"Maintenance - Gefen kindergarten
",,,,
8124,812|81|8,1.812400.470,חומרים גן גפן,Materials - Gefen kindergarten,,,,
8125,,1.812500.210,סייעות-צהרון,Assistants - after school child care program,,,0,2612.78
10,8125|812|81|8,1.812510.750,מפעיל צהרון,After school child care program operator ,,,250000,234024.4
8132,,1.813200.810,תקציב ב'יס יסודי משותף,Joint Elementary School budget,,,1130000,1130000.04
8132,,1.813200.811,השתתפות משרד החינוך בי'ס יסודי,Joint Elementary School - Ministry of Education share,,,350000,457800.16
8132,,1.813200.812,"השתת'סייעות לבי""ס-מ.החינוך",Teaching assistants - Ministry of Education share,,,90000,193373.3
8132,,1.813200.813,השתת'סייעת-הורים ורשויות,Teaching assistants - parent and municipality share,,,,
