PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
1111,111|11|1,1.111100.110,ארנונה כללית שוטפת ,Property Tax - general,,,1000000,1442000
1112,111|11|1,1.111200.110,ארנונה כללית פגורים ,Property Tax - delays,,,1800000,1960000
116,11|1,1.116000.110,ועדת הנחות חומריות ,,,,4500000,6749000
121,12|1,1.121000.290,תעודות ואישורים , document and certificate ,,,10000,118000
01,1282|282|28|2,1.128201.290,אגרות בית המשפט)גביה( ,court fees (collection),,,4000,1000
131,13|1,1.131000.990,השתת' משרד האוצר היטל השבחה ,,,,0,0
16,1,1.160000.660,הכנסות מימון ,income from financing,,,3000,16000
191,19|1,1.191000.910,מענק כללי לאיזון ,,,,9638000,9638000
02,192|19|1,1.192002.910,מענק שיפוי פנסיה ,,,,20000,19000
04,192|19|1,1.192004.910,מענק-הגדלת שיעור המימוש ,,,,0,0
05,192|19|1,1.192005.910,מענק מותנה בגביה ,,,,1175000,1700000
06,192|19|1,1.192006.910,משר הפנים מענק בחירות ,,,,0,0
07,192|19|1,1.192007.910,מענק חד פעמי ,,,,0,554000
08,192|19|1,1.192008.910,"מענק שיפוי קופ""ג ",,,,17000,8000
09,192|19|1,1.192009.910,משרד הפנים תקבולים שונים ,,,,10000,0
2133,213|21|2,1.213300.940,השתתפות משרד הבריאות ,,,,20000,0
221,22|2,1.221000.750,הכנסות ממוסדות אחרים-מוקד רו,income from other institutes,,,0,0
2251,225|22|2,1.225100.990,"משרד התחבורה-זה""ב ",,,,62000,52000
228,22|2,1.228000.990,"השתת' משרד בטחון פנים-על""א ",,,,0,0
2334,233|23|2,1.233400.790,אגרות בנייה-שימעונים ,construction permit- shimonim ,,,586000,506000
269,26|2,1.269000.690,הכנסות שונות ,other incomes,,,70000,94000
269,26|2,1.269000.691,שונות קרן מקפת ,misc. pensions fund (keren makefet),,,20000,27000
01,269|26|2,1.269001.661,שונות קרן מקפת ,misc. pensions fund (keren makefet),,,0,0
299,26|2,1.299000.990,השתת' ממשרד החקלאות ,,,,0,0
3122,312|31|3,1.312200.420,"השתת' הורים הזנה יוח""א ",Parents share - kindergarten fee ,,,12000,40000
3122,312|31|3,1.312200.740,השתת' ממפעל הפיס ,lottery share,,,0,0
3122,312|31|3,1.312200.920,עוזרות לגננות ,kindergarden teachers' assistants,,,1500000,1771000
3122,312|31|3,1.312200.923,"תשלומי הורים חומרים-ג""י ",parents' payments for materials - kindergardens,,,12000,12000
3122,312|31|3,1.312200.924,"ה.נלוות ח.מיוחד-גנ""י ",additional payments for special education - kindergardens,,,15000,19000
3122,312|31|3,1.312200.926,"שכ""ד גני חובה ",rent for preschool kindergardens,,,105000,118000
3122,312|31|3,1.312200.927,"אגרת תלמידי חוץ-גנ""י ",exterior students' fees,,,70000,0
3122,312|31|3,1.312200.928,"גנ""י יוח""א ",long study day - kindergardens,,,270000,272000
3122,312|31|3,1.312200.929,השתת' מ.חינוך שונות ,ministry of education share - misc,,,0,85000
3123,312|31|3,1.312300.410,השתתפות הורים ,Parents share,,,0,15000
3123,312|31|3,1.312300.920,"שכ""ל גני ילדים קדם חובה ",enrollment fees - nursery kindergardens,,,5000000,5242000
3123,312|31|3,1.312300.923,"תשלומי הורים חומרים-ט""ח ",parents' payments for materials - kindergardens,,,25000,24000
